cenario,round,loss,acuracia
Sem DP,1,0.598,0.6815
Sem DP,2,0.5984,0.677
Sem DP,3,0.4612,0.8105
Sem DP,4,0.4843,0.7764
Sem DP,5,0.4386,0.8032
Sem DP,6,0.4469,0.7953
Sem DP,7,0.407,0.8177
Sem DP,8,0.4213,0.8061
Sem DP,9,0.4062,0.817
Sem DP,10,0.4096,0.8133
Sem DP,11,0.4069,0.8148
Sem DP,12,0.4078,0.8135
Sem DP,13,0.4057,0.8156
Sem DP,14,0.4056,0.8159
Sem DP,15,0.4038,0.8172
Sem DP,16,0.4031,0.8168
Sem DP,17,0.4018,0.817
Sem DP,18,0.401,0.8175
Sem DP,19,0.4,0.818
Sem DP,20,0.3992,0.8181
eps=0.5,1,3.0956,0.5839
eps=0.5,2,3.1805,0.5183
eps=0.5,3,3.3769,0.5207
eps=0.5,4,4.1446,0.5385
eps=0.5,5,4.3897,0.5297
eps=0.5,6,5.406,0.45
eps=0.5,7,4.4952,0.5009
eps=0.5,8,4.2622,0.4953
eps=0.5,9,4.3433,0.4937
eps=0.5,10,3.6758,0.517
eps=0.5,11,3.2204,0.5272
eps=0.5,12,2.9976,0.5861
eps=0.5,13,4.1414,0.5477
eps=0.5,14,2.665,0.5967
eps=0.5,15,3.1779,0.5745
eps=0.5,16,4.6856,0.4951
eps=0.5,17,4.4307,0.4606
eps=0.5,18,3.9434,0.4965
eps=0.5,19,4.0978,0.4799
eps=0.5,20,3.3234,0.5372
eps=1,1,1.6022,0.5875
eps=1,2,1.6512,0.5292
eps=1,3,1.7903,0.534
eps=1,4,2.151,0.5493
eps=1,5,2.2331,0.5356
eps=1,6,2.7807,0.4558
eps=1,7,2.3768,0.4955
eps=1,8,2.2276,0.4917
eps=1,9,2.2004,0.5018
eps=1,10,1.978,0.5223
eps=1,11,1.7111,0.5363
eps=1,12,1.5939,0.5886
eps=1,13,2.1717,0.5531
eps=1,14,1.4379,0.6021
eps=1,15,1.6481,0.5849
eps=1,16,2.3921,0.5039
eps=1,17,2.3375,0.4627
eps=1,18,2.1186,0.4969
eps=1,19,2.1588,0.4776
eps=1,20,1.7955,0.5299
eps=2,1,0.9954,0.579
eps=2,2,0.9936,0.5496
eps=2,3,1.0808,0.5603
eps=2,4,1.1994,0.5681
eps=2,5,1.2429,0.5384
eps=2,6,1.5444,0.4733
eps=2,7,1.3473,0.4938
eps=2,8,1.3383,0.4902
eps=2,9,1.2968,0.4898
eps=2,10,1.2364,0.516
eps=2,11,1.069,0.5461
eps=2,12,0.9327,0.5935
eps=2,13,1.1835,0.5716
eps=2,14,0.897,0.609
eps=2,15,0.934,0.6077
eps=2,16,1.2978,0.5314
eps=2,17,1.3771,0.4586
eps=2,18,1.2598,0.484
eps=2,19,1.225,0.4879
eps=2,20,1.1047,0.5264
eps=4,1,0.7098,0.5947
eps=4,2,0.7603,0.5744
eps=4,3,0.7592,0.6002
eps=4,4,0.7396,0.6312
eps=4,5,0.7698,0.6011
eps=4,6,0.8962,0.5506
eps=4,7,0.8689,0.5261
eps=4,8,0.8518,0.5348
eps=4,9,0.8305,0.5392
eps=4,10,0.8272,0.5404
eps=4,11,0.7342,0.6163
eps=4,12,0.6645,0.643
eps=4,13,0.7342,0.6264
eps=4,14,0.6646,0.6522
eps=4,15,0.6653,0.6478
eps=4,16,0.8376,0.5811
eps=4,17,0.876,0.4999
eps=4,18,0.8575,0.5181
eps=4,19,0.8227,0.5384
eps=4,20,0.7823,0.5565
eps=8,1,0.6092,0.6786
eps=8,2,0.6584,0.6241
eps=8,3,0.6333,0.6563
eps=8,4,0.6095,0.6938
eps=8,5,0.6314,0.6707
eps=8,6,0.6768,0.6105
eps=8,7,0.6981,0.5888
eps=8,8,0.6498,0.6116
eps=8,9,0.618,0.6623
eps=8,10,0.6605,0.6119
eps=8,11,0.579,0.7098
eps=8,12,0.5708,0.7079
eps=8,13,0.5991,0.6956
eps=8,14,0.5913,0.6854
eps=8,15,0.5815,0.7062
eps=8,16,0.6778,0.6227
eps=8,17,0.6715,0.5917
eps=8,18,0.6651,0.6257
eps=8,19,0.6255,0.6658
eps=8,20,0.6162,0.6611
