analise,variavel,use_dp,epsilon,clip_norm,delta,num_rounds,sigma,epsilon_total,acuracia_global,recall_falha,f1_falha,ataque_auc,ataque_acuracia
utilidade,baseline,False,,,,20,0.0,,0.8181,0.8112094395280236,0.23216547066272689,,
ataque,baseline,False,,,,20,0.0,,,,,0.52788,0.554
utilidade,epsilon,True,0.5,1.0,1e-05,20,6.7861,10.0,0.537225,0.478244837758112,0.06978568924844586,,
utilidade,epsilon,True,1.0,1.0,1e-05,20,3.3931,20.0,0.5299375,0.5018436578171092,0.07157970817403206,,
utilidade,epsilon,True,2.0,1.0,1e-05,20,1.6965,40.0,0.526375,0.4918879056047198,0.0703481922019575,,
utilidade,epsilon,True,4.0,1.0,1e-05,20,0.8483,80.0,0.556525,0.6533923303834809,0.09521106020945451,,
utilidade,epsilon,True,8.0,1.0,1e-05,20,0.4241,160.0,0.661125,0.7754424778761062,0.14126063876335135,,
ataque,epsilon,True,0.5,1.0,1e-05,20,6.7861,0.5,,,,0.5111539999999999,0.5457
ataque,epsilon,True,1.0,1.0,1e-05,20,3.3931,1.0,,,,0.508008,0.5446
ataque,epsilon,True,2.0,1.0,1e-05,20,1.6965,2.0,,,,0.5055339999999999,0.5433
ataque,epsilon,True,4.0,1.0,1e-05,20,0.8483,4.0,,,,0.504516,0.5438000000000001
ataque,epsilon,True,8.0,1.0,1e-05,20,0.4241,8.0,,,,0.503756,0.5445
ataque,epsilon,True,16.0,1.0,1e-05,20,0.2121,16.0,,,,0.5046619999999999,0.5424
ataque,epsilon,True,32.0,1.0,1e-05,20,0.106,32.0,,,,0.505514,0.54
ataque,epsilon,True,64.0,1.0,1e-05,20,0.053,64.0,,,,0.505782,0.5395000000000001
utilidade,clip_norm,True,1.0,0.5,1e-05,20,1.6965,20.0,0.5309499999999999,0.4823008849557522,0.06913863618740408,,
ataque,clip_norm,True,1.0,0.5,1e-05,20,1.6965,1.0,,,,0.5051979999999999,0.5426000000000001
utilidade,clip_norm,True,1.0,1.0,1e-05,20,3.3931,20.0,0.5299375,0.5018436578171092,0.07157970817403206,,
ataque,clip_norm,True,1.0,1.0,1e-05,20,3.3931,1.0,,,,0.508008,0.5446
utilidade,clip_norm,True,1.0,2.0,1e-05,20,6.7861,20.0,0.5298125,0.482669616519174,0.06922136942781,,
ataque,clip_norm,True,1.0,2.0,1e-05,20,6.7861,1.0,,,,0.511402,0.5464
utilidade,delta,True,1.0,1.0,0.001,20,2.6283,20.0,0.5296000000000001,0.46128318584070793,0.0666311643729189,,
ataque,delta,True,1.0,1.0,0.001,20,2.6283,1.0,,,,0.507136,0.5439
utilidade,delta,True,1.0,1.0,1e-05,20,3.3931,20.0,0.5299375,0.5018436578171092,0.07157970817403206,,
ataque,delta,True,1.0,1.0,1e-05,20,3.3931,1.0,,,,0.508008,0.5446
utilidade,delta,True,1.0,1.0,1e-07,20,4.0147,20.0,0.5316375,0.5077433628318584,0.07272408015234515,,
ataque,delta,True,1.0,1.0,1e-07,20,4.0147,1.0,,,,0.508714,0.5449999999999999
utilidade,num_rounds,True,1.0,1.0,1e-05,5,3.3931,5.0,0.5356,0.45390855457227136,0.055976596206251956,,
utilidade,num_rounds,True,1.0,1.0,1e-05,10,3.3931,10.0,0.5223125,0.5660029498525073,0.0840583117175867,,
utilidade,num_rounds,True,1.0,1.0,1e-05,20,3.3931,20.0,0.5299375,0.5018436578171092,0.07157970817403206,,
